Date,Open,High,Low,Close,Adj Close,Volume
5/1/2022,113.404999,122.854500,101.884499,113.762001,113.762001,850450000
6/1/2022,114.855003,119.347000,105.045998,108.962997,108.962997,770754000
7/1/2022,107.932999,119.684998,104.070000,116.320000,116.320000,789529700
8/1/2022,115.300003,122.430000,107.800003,108.220001,108.220001,515852700
9/1/2022,108.279999,111.620003,95.559998,95.650002,95.650002,613278900
10/1/2022,96.760002,104.820000,91.800003,94.510002,94.510002,681488300
11/1/2022,95.449997,101.040001,83.339996,100.989998,100.989998,716522700
12/1/2022,101.019997,102.250000,85.940002,88.230003,88.230003,603127800
1/1/2022,89.589996,100.320000,84.860001,98.839996,98.839996,672897800
2/1/2023,98.709999,108.180000,88.580002,90.059998,90.059998,952580200
3/1/2023,89.980003,106.589996,89.419998,103.730003,103.730003,859821800
4/1,2023,102.389999,109.169998,101.930000,108.419998,108.419998,126457500
4/6/2023,105.260002,109.169998,104.330002,108.419998,108.419998,48711480
